"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
status_update,status,,text,"Date of status update",,,date_dmy,,,,,,,,,," @READONLY @HIDDEN"
status_tbl6,status,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; background-color: #003b75;"" border=""0""><colgroup><col style=""width: 99.8586%;""></colgroup> <tbody> <tr> <td><span style=""font-size: 12pt; color: #ffffff;"">PROJECT INFORMATION</span></td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 99.9489%; height: 24.8611px;"" border=""0""><colgroup><col style=""width: 99.8586%;""></colgroup> <tbody> <tr style=""height: 24.8611px;""> <td>Is this patient part of the SEED-ALS project cohort? {seed_project}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
seed_project,status,,yesno,"SEED Project (Yes/No)",,,,,,,,y,,,,,
ci_table2,consent,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; background-color: #003b75;"" border=""0""> <tbody> <tr> <td style=""width: 99.8939%; text-align: center;""> <h5><span style=""color: #ffffff;""><strong>CONSENT</strong></span></h5> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 99.9489%; height: 79.1625px;"" border=""0""> <tbody> <tr style=""height: 45px;""> <td style=""width: 99.8939%; text-align: center; height: 45px;""> <p><span style=""color: #000000;""><strong>Form updated on [ci_update]</strong></span></p> </td> </tr> <tr style=""height: 34.1625px;""> <td style=""width: 99.8939%; text-align: center; height: 34.1625px;""> <p style=""text-align: center;""><span style=""color: #e03e2d; font-weight: normal;""><strong>All fields are mandatory</strong></span></p> </td> </tr> </tbody> </table></div>",,,,,,,[status]>0,,,,,,
ci_dead_warn,consent,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.065%;"" border=""0""> <tbody> <tr> <td style=""width: 99.7928%; text-align: center;""> <h6><span style=""font-weight: normal; color: #e03e2d;""><strong>Due to the patient's decease, consent is no longer required and can be withdrawn.</strong></span></h6> </td> </tr> </tbody> </table></div>",,,,,,,[status]=0,,,,,,
ci_tbl1,consent,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%;"" border=""0""> <tbody> <tr> <td style=""width: 99.8939%;"">Has the patient signed the informed consent? {ci}</td> </tr> </tbody> </table></div>",,,,,,,[status]<>0,,,,,,
ci_tbl2,consent,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%;"" border=""0""> <tbody> <tr> <td style=""width: 49.947%;"">Consent type: {ci_type}</td> <td style=""width: 49.947%;"">Version number of CI: {ci_version}</td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 99.9489%; height: 49.25px;"" border=""0""> <tbody> <tr style=""height: 24.4px;""> <td style=""height: 24.4px; width: 100.016%;"" colspan=""2"">Signed on {ci_date}</td> </tr> <tr style=""height: 24.85px;""> <td style=""width: 100.016%; height: 24.85px;"" colspan=""2"">The patient agrees to<span style=""font-weight: normal;""> (select all that applies)</span> {ci_options}</td> </tr> </tbody> </table></div>",,,,,,,"[ci] = '1'",,,,,,
ci_tbl3,consent,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; background-color: #003b75; height: 24.8611px;"" border=""0""> <tbody> <tr style=""height: 24.8611px;""> <td style=""width: 99.8939%; height: 24.8611px; text-align: left;""> <h6><span style=""color: #ffffff;""><strong>PERSONAL DATA PROCESSING</strong></span></h6> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 99.9489%; height: 42px;"" border=""0""> <tbody> <tr style=""height: 42px;""> <td style=""width: 99.8939%; height: 42px;"">Concerning the treatment of personal and contact details, the patient has consented to <span style=""font-weight: normal;"">(select all that applies):</span> {ci_opt_pers_data}</td> </tr> </tbody> </table></div>",,,,,,,"[ci]=1 and [ci_version]>=6",,,,,,
ci_tbl4,consent,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; background-color: #003b75;"" border=""0""> <tbody> <tr> <td style=""width: 99.8939%; text-align: center;""> <h6 style=""text-align: left;""><span style=""color: #ffffff;""><strong>INTEREST TO PARTICIPATE IN CLINICAL TRIALS</strong></span></h6> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 99.9489%; height: 24.8611px;"" border=""0""> <tbody> <tr style=""height: 24.8611px;""> <td style=""width: 99.8939%; height: 24.8611px;"">Concerning the interest to participate in clinical trials, the patient has consented to <span style=""font-weight: normal;"">(select all that applies):</span> {ci_options_assays}</td> </tr> </tbody> </table></div>",,,,,,,"[ci]=1 and [ci_version]>=6",,,,,,
ci,consent,,yesno,"Has the patient signed the informed consent?",,,,,,,[status]>=1,y,RH,,,,
ci_type,consent,,radio,"Type of consent","1, Adult|2, Grown up minor (between 12 and 17 yo)|3, Parent or legal guardian",,,,,,,y,,,,," @COLUMNS=3"
ci_date,consent,,text,"Date of Informed Consent",,,date_dmy,,today,y,,y,,,,," @FORCE-MINMAX @PREVENT-FUTUREDATE @PLACEHOLDER='CI date'"
ci_version,consent,,text,Version,,,integer,,,,,y,,,,," @PLACEHOLDER='CI version'"
ci_options,consent,,checkbox,"What has the patient consented to?","1, Store the clinical data derived from the healthcare proceedings in the GENRARE registry.|2, Share the data with other national or international research groups.|3, Share the data with other national or international registries.|4, Use the data to carry out related research projects.",,,,,,,y,LV,,,,
ci_opt_pers_data,consent,,checkbox,"What has the patient consented to in terms of personal data?","0, Does not consent to the processing of personal and contact data|1, Consents to the storage of contact data in GENRARE.|2, Consents to receive surveys related to the objectives of the GENRARE registry (PROMs, surveys,...).",,,,,,,y,LV,,,," @NONEOFTHEABOVE=0 @ DEFAULT='0' @HIDECHOICE='1'"
ci_options_assays,consent,,checkbox,"What has the patient consented to in terms of clinical trials?","0, Not interested in participating in future clinical trials.|1, Interested in participating in future clinical trials.",,,,,,,y,LV,,,," @NONEOFTHEABOVE=0"
ci_remove_check,consent,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%;"" border=""0""> <tbody> <tr> <td style=""width: 99.8939%;"">Date of Consent withdrawn: [ci_date_remove]</td> </tr> </tbody> </table></div>",,,,,,y,"([ci]<>'' and [ci]=0) or ([ci_options(1)]=0 and [ci]=1)",,,,,," @IF(not_contain([user-role-label],'dmin'),@HIDDEN,'')"
ci_date_remove,consent,,text,"<div class=""rich-text-field-label""><p>Date of consent withdrawal</p></div>",,,date_dmy,,,y,,y,,,,," @CALCDATE('today',18,'M') @HIDDEN"
ci_warn1,consent,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; height: 122.014px;"" border=""0""> <tbody> <tr style=""height: 53.4722px;""> <td style=""width: 99.8939%; text-align: center; height: 53.4722px;""> <h6><span style=""color: #e03e2d;""><strong>All patients included in the registry must have signed the GENRARE informed consent and agreed, at least, to store the data in the GENRARE registry.</strong></span></h6> </td> </tr> <tr style=""height: 34.2708px;""> <td style=""width: 99.8939%; height: 34.2708px; text-align: center;""> <h6><span style=""color: #e03e2d;""><strong>Patient must have signed the informed consent, otherwise it will be removed before [ci_date_remove].</strong> </span></h6> </td> </tr> <tr style=""height: 34.2708px;""> <td style=""width: 99.8939%; height: 34.2708px; text-align: center;""> <h6><span style=""color: #e03e2d;""><strong>After this date, the patient will be automatically deleted by the GENRARE team in case no action has been taken.</strong></span></h6> </td> </tr> </tbody> </table></div>",,,,,,,"([ci]<>'' and [ci]=0) or ([ci_options(1)]=0 and [ci]=1)",,,,,,
ci_update,consent,,text,"Date of update",,,date_dmy,,,,,,,,,," @READONLY @HIDDEN"
personal_tbl1,personal_information,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; background-color: #003b75;"" border=""0""> <tbody> <tr> <td style=""width: 99.8939%;""> <h5 style=""text-align: center;""><span style=""color: #ffffff;""><strong>PERSONAL DATA</strong></span></h5> </td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
personal_tbl3,personal_information,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%;"" border=""0""> <tbody> <tr> <td style=""width: 99.8939%;"">Contact email: {pat_mail}</td> </tr> </tbody> </table></div>",,,,,,,"[status]>0 and [ci]=1 and [ci_opt_pers_data(2)]=1",,,,,,
personal_tbl4,personal_information,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%;"" border=""0""> <tbody> <tr> <td style=""width: 99.8939%; text-align: center;""><span style=""color: #e03e2d;"">Personal data is protected against unauthorised access. Only authorised personnel can access them.</span></td> </tr> </tbody> </table></div>",,,,,,,,,,,,," @HIDDEN"
personal_tbl5,personal_information,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%;"" border=""0""> <tbody> <tr> <td style=""width: 99.8939%; text-align: center;""><span style=""color: #e03e2d;"">With this version of the Informed Consent, no personal information, including the Medical Record ID, can be stored in the database. </span></td> </tr> <tr> <td style=""width: 99.8939%; text-align: center;""><span style=""color: #e03e2d;"">To save the Medical Record ID, please resubmit with Informed Consent version 6 or later.</span></td> </tr> <tr> <td style=""width: 99.8939%; text-align: center;""> <p style=""text-align: center;""><span style=""color: #e03e2d;"">The patient documentation is available in the left panel, under ""Project marker"", or via this link.</span></p> </td> </tr> </tbody> </table></div>",,,,,,,[ci_version]<6,,,,,," @IF([basic_arm_1][ci_opt_pers_data(1)]=0 and not_contain([user-role-label], 'admin'),'',@HIDDEN)"
pat_mail,personal_information,,text,Email,,,email,,,y,,y,,,,,
pat_mail_show,personal_information,,text,"Email (show)",,,email,,,y,,,,,,," @CALCTEXT(if([status]>0 and [status]<=2,[pat_mail],'')) @HIDDEN"
personal_tbl6,personal_information,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; background-color: #003b75;"" border=""0""> <tbody> <tr> <td style=""width: 99.8939%; text-align: center;""> <h6><span style=""color: #ffffff;""><strong>CLINICAL IDENTIFYING DATA</strong></span></h6> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 99.9489%; height: 24.4px;"" border=""0""> <tbody> <tr style=""height: 24.4px;""> <td style=""width: 99.8939%; height: 24.4px;"">Medical Record ID:  {nhc}</td> </tr> </tbody> </table></div>",,,,,,,"[basic_arm_1][ci_version]<>'' or [basic_arm_1][status]=0",,,,,,
personal_tbl7,personal_information,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%;"" border=""0""> <tbody> <tr> <td style=""width: 99.8939%; text-align: center;""><span style=""color: #e03e2d;"">The Medical Record ID cannot be stored unless the patient has signed the informed consent version 6. In the meantime, investigators/clinicians should maintain a parallel file containing the correspondence between the Registry ID and the Medical Record ID.</span></td> </tr> </tbody> </table></div>",,,,,,,"([ci_version]<6 or [ci_version]='') and [status]=1",,,,,,
nhc,personal_information,,text,"Medical Record ID",,,,,,y,,,,,,,
nhc_lbl,personal_information,,text,"Medical Record ID show",,,,,,y,,,,,,," @HIDDEN 
@CALCTEXT(if(([basic_arm_1][ci_version]<>'' or [basic_arm_1][status]=0) and [basic_arm_1][nhc]<>'', [basic_arm_1][nhc],
            if([basic_arm_1][ci_version]<>'' or [basic_arm_1][status]=0) and [basic_arm_1][nhc]='','n.a.','n.a. due to GDPR')))"
personal_tbl8,personal_information,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; background-color: #003b75;"" border=""0""> <tbody> <tr> <td style=""width: 99.8939%; text-align: center;""> <h6><span style=""color: #ffffff;""><strong>REFERRING CENTER/HOSPITAL</strong></span></h6> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 99.9489%; height: 24.4px;"" border=""0""> <tbody> <tr style=""height: 24.4px;""> <td style=""width: 99.8939%; height: 24.4px;"">Patient referred from other hospital:  {pat_referred} {pat_refer_hosp}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
refer_yes,personal_information,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9514%;"" border=""0""><colgroup><col style=""width: 99.8582%;""></colgroup> <tbody> <tr> <td>Reasons for referring to [record-dag-label]? {hosp_refer_reason}</td> </tr> </tbody> </table></div>",,,,,,,"[pat_referred]=1 and [pat_referred]<>''",,,,,,
personal_tbl9,personal_information,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; height: 24.4px;"" border=""0""> <tbody> <tr style=""height: 24.4px;""> <td style=""width: 99.8939%; height: 24.4px;"">Patient derived to other hospital:  {pat_derived} {pat_deriv_hosp}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
derived_yes,personal_information,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9514%;"" border=""0""><colgroup><col style=""width: 99.8582%;""></colgroup> <tbody> <tr> <td>Reasons for derivation? {hosp_deriv_reason}</td> </tr> </tbody> </table></div>",,,,,,,"[pat_derived]=1 and [pat_derived]<>''",,,,,,
refer_follow,personal_information,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9514%;"" border=""0""><colgroup><col style=""width: 99.8582%;""></colgroup> <tbody> <tr> <td>Is the patient still being followed in [refer_lbl]? {pat_ref_hosp_follow}</td> </tr> </tbody> </table></div>",,,,,,,"([pat_referred]=1 and [pat_referred]<>'') or ([pat_derived]=1 and [pat_derived]<>'')",,,,,,
refer_lbl,personal_information,,text,"Label for referring question",,"Do not export",,,,,,,,,,," @HIDDEN @CALCTEXT(
if([pat_referred]=1 and [pat_derived]=0,
    'referring hospital',
    if([pat_referred]=0 and [pat_derived]=1,
        [record-dag-label],
        if([pat_referred]=1 and [pat_derived]=1,
        concat('referring hospital and/or ',[record-dag-label]),
        ' ')
        )
    )
)"
pat_referred,personal_information,,radio,"Patient referred from other hospital","0, No | 1, Yes",,,,,,,y,LH,,,," @DEFAULT='0'"
hosp_refer_reason,personal_information,,radio,"Referring reasons","98, Unknown | 1, Derived to CSUR | 2, End of pediatric age | 3, Patient's change of address",,,,,,,y,LV,,,," @COLUMNS=4"
pat_derived,personal_information,,radio,"Patient derived to other hospital","0, No | 1, Yes",,,,,,,y,LH,,,," @DEFAULT='0'"
hosp_deriv_reason,personal_information,,radio,"Derivation reasons","98, Unknown | 1, Derived to CSUR | 2, End of pediatric age | 3, Patient's change of address",,,,,,,y,LV,,,," @COLUMNS=4"
pat_ref_hosp_follow,personal_information,,radio,"Still followed in hospital","98, Unknown | 0, No | 1, Yes",,,,,,,y,LH,,,,
pat_refer_hosp,personal_information,,sql,"Patient referred from","select record, value from [data-table:248] where project_id=248 and field_name='nombre_listado' order by value",,autocomplete,,,,"[pat_referred]=1 and [pat_referred]<>''",y,LH,,,," @PLACEHOLDER='Referring hospital'"
pat_deriv_hosp,personal_information,,sql,"Patient derived to","select record,value from [data-table:248] where project_id=248 and field_name='nombre_listado' order by value",,autocomplete,,,,"[pat_derived]=1 and [pat_derived]<>''",y,LH,,,," @PLACEHOLDER='Derived to ...Hospital name'"
dem_tbl0,demographics,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.065%; background-color: #003b75;"" border=""0""> <tbody> <tr> <td style=""width: 99.7928%; text-align: center;""> <h5><span style=""color: #ffffff;""><strong>DEMOGRAPHICS</strong></span></h5> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 100.065%; height: 364.977px;"" border=""0""> <tbody> <tr style=""height: 24.5139px;""> <td style=""width: 99.7928%;"">Form updated on [demo_update]</td> </tr> <tr style=""height: 24.6644px;""> <td style=""width: 99.7928%;"">Sex: {sex}</td> </tr> <tr style=""height: 24.6644px;""> <td style=""width: 99.7928%;"">Date of birth: {dob} <span style=""font-weight: normal;"">([curr_age] y.o. at current status)</span></td> </tr> <tr> <td style=""width: 99.7928%;"">Postal code of current residence: {cp_current}</td> </tr> <tr style=""height: 133.9px;""> <td style=""width: 99.7928%;""> <p>Type of current Residential Area: {res_type_current}</p> <p><span style=""font-weight: normal; font-size: 8pt;""><span style=""text-decoration: underline;"">Urban</span>: High-density area (≥1,500 inh/km², ≥50,000 people)</span></p> <p><span style=""font-weight: normal; font-size: 8pt;""><span style=""text-decoration: underline;"">Semi-urban</span>: Medium-density area (≥300 inh/km², ≥5,000 people)</span></p> <p><span style=""font-weight: normal; font-size: 8pt;""><span style=""text-decoration: underline;"">Rural</span>: Low-density area (< 300 inh/km², outside urban clusters)</span></p> </td> </tr> <tr> <td style=""width: 99.7928%;"">Start date of current residency: {res_start_date_curr} <span style=""font-weight: normal;"">([res_start_date_curr_age] y.o.)</span></td> </tr> <tr style=""height: 24.5139px;""> <td style=""width: 99.7928%;"">Postal code of residence where the patient has lived most of the life: {cp_life}</td> </tr> <tr style=""height: 24.5139px;""> <td style=""width: 99.7928%;"">Type of Residential Area where the patient has lived most of the life: {res_type_life}</td> </tr> <tr> <td style=""width: 99.7928%;"">Start date of residence where the patient has lived most of the life: {res_start_date_life} <span style=""font-weight: normal;"">([res_start_date_life_age] y.o.)</span></td> </tr> <tr> <td style=""width: 99.7928%;"">End date of residence where the patient has lived most of the life: {res_end_date_life} <span style=""font-weight: normal;"">([res_end_date_life_age] y.o.)</span></td> </tr> <tr style=""height: 24.5139px;""> <td style=""width: 99.7928%;"">Country of origin: {country_origin}</td> </tr> <tr style=""height: 24.5139px;""> <td style=""width: 99.7928%;"">Province / Region of origin:  {province_origin}</td> </tr> <tr style=""height: 24.6644px;""> <td style=""width: 99.7928%;"">Ethnicity: {ethnicity}</td> </tr> <tr style=""height: 24.5139px;""> <td style=""width: 99.7928%;"">Is there a secondary ethnicity? {ethnicity_2_yn}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
ethn_tbl2,demographics,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.065%; height: 17.0417px;"" border=""0""> <tbody> <tr style=""height: 17.0417px;""> <td style=""width: 99.7928%;"">Please, specify the secondary ethnicity: {ethnicity_2}</td> </tr> </tbody> </table></div>",,,,,,,[ethnicity_2_yn]='1',,,,,,
dem_tbl1,demographics,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; background-color: #003b75;"" border=""0""><colgroup><col style=""width: 99.8586%;""></colgroup> <tbody> <tr> <td><span style=""font-size: 12pt;""><span style=""color: #ffffff;"">FAMILY HISTORY</span></span></td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 100.065%; height: 33.0451px;"" border=""0""> <tbody> <tr> <td style=""width: 99.7928%;"">Is there family history of neurodegenerative or psychiatric disorders? {family_history_dic}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
family_history_dic,demographics,,radio,"Family History","0, No | 1, Yes | 98, Unknown",,,,,,,y,LH,,,,
dem_tbl01,demographics,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.065%;""> <tbody> <tr> <td style=""width: 99.9293%; text-align: center;"" colspan=""2""><span style=""color: #e03e2d;""><em>Please, ""Save and Stay"" to update the calculations</em></span></td> </tr> <tr> <td style=""width: 99.9293%;"" colspan=""2""><span style=""text-align: center;"">[num_first_degree_affected] <span style=""font-weight: normal;"">first degree relatives affected</span></span></td> </tr> <tr> <td style=""width: 99.9293%;"" colspan=""2""><span style=""text-align: center;"">[num_second_degree_affected] <span style=""font-weight: normal;"">second degree relatives affected</span><br></span></td> </tr> <tr> <td colspan=""2""><span style=""text-align: center;"">[num_third_degree_affected] <span style=""font-weight: normal;"">third degree relatives affected</span></span></td> </tr> <tr> <td colspan=""2""><span style=""text-align: center;"">[num_fourth_degree_affected] <span style=""font-weight: normal;"">fourth degree relatives affected</span></span></td> </tr> </tbody> </table></div>",,,,,,,[family_history_dic]=1,,,,,,
num_first_degree_affected,demographics,,calc,"<div class=""rich-text-field-label""><p>Number of first degree relatives affected</p></div>",[aggregate-sum:first_degree_affected_dic:record-name],"Parents, Children",,,,,,,,,,," @HIDDEN"
num_second_degree_affected,demographics,,calc,"<div class=""rich-text-field-label""><p>Number of second degree relatives affected</p></div>",[aggregate-sum:second_degree_affected_dic:record-name],"Siblings, Half Siblings, Grandparents and Grandchildren",,,,,,,,,,," @HIDDEN"
num_third_degree_affected,demographics,,calc,"<div class=""rich-text-field-label""><p>Number of third degree relatives affected</p></div>",[aggregate-sum:third_degree_affected_dic:record-name],"Uncles, Aunts, Nephews, Nieces, Great-grandparents and Great-grandchildren",,,,,,,,,,," @HIDDEN"
num_fourth_degree_affected,demographics,,calc,"<div class=""rich-text-field-label""><p>Number of fourth degree relatives affected</p></div>",[aggregate-sum:fourth_degree_affected_dic:record-name],"Cousins, Great-uncles, Great-aunts, Great-nephews, Great-nieces, Great-great-grandparents and Great-great-grandchildren",,,,,,,,,,," @HIDDEN"
fam_hist_tbl,demographics,,descriptive,"<div class=""rich-text-field-label""></div>",,,,,,,[family_history_dic]=1,,,,,," @INSTANCETABLE=family_history_arm_1:family_history
@INSTANCETABLE_VARLIST=affected_relative,family_line,relative_diagnosis"
dem_tbl02,demographics,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.065%; height: 14.5938px;""> <tbody> <tr style=""height: 14.5938px;""> <td style=""width: 99.9293%;"" colspan=""2""><span style=""text-align: center;"">How is the patient classified?</span></td> </tr> <tr> <td colspan=""2""><span style=""text-align: center;"">{als_fam_hist_type}</span></td> </tr> <tr> <td colspan=""2""><span style=""text-align: center;""><span style=""color: #003b75; font-weight: normal;"">Familial ALS: at least 1 family member of 1st or 2nd degree with ALS or FTD, or 2 family members of 3rd or greater degree with ALS or FTD</span><br></span></td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
als_fam_hist_type,demographics,,radio,"Familial vs Sporadic ALS","1, Familial ALS | 2, Sporadic ALS",,,,,,,y,LH,,,,
dem_tbl2,demographics,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.065%; height: 33.0451px;"" border=""0""> <tbody> <tr style=""height: 33.0451px;""> <td style=""width: 99.7928%;"">Is the patient adopted or not biologically related to their parents? {adopted}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
adopted,demographics,,radio,"<div class=""rich-text-field-label""><p>Adopted?</p></div>","0, No | 1, Yes | 98, Unknown",,,,,,,y,RH,,,,
dem_table2,demographics,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.065%; height: 17.0417px;"" border=""0""> <tbody> <tr style=""height: 17.0417px;""> <td style=""width: 99.7928%;"">Are the parents biologically related to each other (consanguinity)? {consanguinity}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
dem_table4,demographics,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.065%; height: 17.0417px;"" border=""0""> <tbody> <tr style=""height: 17.0417px;""> <td style=""width: 99.7928%;"">What type of biological relationship is there between the parents? {consanguinity_type}</td> </tr> </tbody> </table></div>",,,,,,,"[consanguinity] = '1'",,,,,,
dem_table6,demographics,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.065%; height: 17.0417px;"" border=""0""> <tbody> <tr style=""height: 17.0417px;""> <td style=""width: 99.7928%;"">Is the biological father alive? {father_alive}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
